id;myzone;neighborhood;going;place;route;routine_id;hub;slots;description;created_at;updated_at;week_days;repeats_until;done;deleted_at;date
;Zona Sul;Copacabana;;posto 6;reboucas,  lagoa e corte;;CT: Bloco D;;;2016-04-18 19:36:29;2017-04-19 11:59:25;3;;;;2016-05-18 16:45:00
;Zona Norte;Vila Isabel;;Rua Torres Homem;;;CT: Bloco D;;Aceito contribuições pra dar um help com a gasolina :);2016-05-18 10:54:00;2017-04-19 11:59:25;;;;;2016-05-18 13:00:00
;Zona Norte;Vila Isabel;;Teodoro da Silva;Maracanã, Praça da Bandeira, São Cristóvão, Linha Vermelha;;CT: Bloco A;;;2016-04-11 19:10:08;2017-04-19 11:59:25;2,4,5;;;;2016-04-14 17:30:00
;Zona Norte;Tijuca;;Bloco H CT - Burguesão;Shopping Tijuca;;CT;;Rua Costa Pereira, Shopping Tijuca, Praça da Bandeira. R$3,00;2016-06-28 21:09:32;2017-04-19 11:59:25;1,2,3,4,5;2016-08-29;;;2016-06-29 08:00:00
;Baixada;Mesquita;;Dutra até Posto 13;Marques Rollo / Estação de Nova Iguaçu ;;CT: Bloco H;;Posso passar em todos os pontos do Fundão. ;2016-04-29 11:47:13;2017-04-19 11:59:25;4;;;;2016-07-28 21:15:00
;Zona Oeste;Recreio dos Bandeirantes;;Praia;Linha Amarela ;;CCS: Frente;;Saio do ccs 15:00 em direção à praia do recreio, chego por volta de 16:30. Peço a colaboração de 5 reais.;2016-06-20 11:09:42;2017-04-19 11:59:25;1,3;;;2016-06-20 11:39:12;2016-07-13 16:30:00
;Zona Oeste;Barra da Tijuca;;Downtown;Ayrton Senna, Alvorada, Americas ou Praia;;Letras;;Normalmente passo pela alvorada e sigo sentido dtw pela praia ou americas. Mas as vezes vou para o Recreio (via nove). ajuda custo sugerida: R$ 4,00 ;2016-09-03 21:10:43;2017-04-19 11:59:25;1,2,3,4,5;2016-11-05;;;2016-09-05 21:20:00
;Zona Sul;Flamengo;;Rua Paissandu (em frente ao Palácio Guanabara);Presidente Vargas - Tn Santa Barbara;;CT: Bloco H;;Favor colaborar com 3 reais, obs: meu carro é um fusca portanto não tem ar-condicionado!;2017-05-12 09:22:49;2017-05-17 17:34:52;3;2017-07-17;;;2017-05-17 16:00:00
;Zona Sul;Jardim Botânico;;Rua Maria Angélica;Fonte Da Saudade, Rebouças, L.Vermelha ;;CT: Bloco D;;;2016-05-15 21:54:39;2017-04-19 11:59:25;1,2,3,4;;;;2016-07-06 08:00:00
;Zona Norte;Ramos;;Academia R2;Rua Cardoso De Morais, Praça Das Nações, Linha Amarela;;CCMN;;Peço colaboração de 2 reais. WhatsApp e Telegram: (21)986685013;2018-05-09 17:45:17;2018-05-09 17:45:17;5,6,7;;;;2018-06-03 08:00:00
;Zona Sul;Flamengo;;;Flamengo -> Largo Do Machado -> Laranjeiras -> Cidade Nova;;CT;;;2018-05-09 16:37:46;2018-05-15 08:03:29;2,3,4,5;;;;2018-05-15 08:00:00
;Zona Oeste;Recreio dos Bandeirantes;;;Salvador Alende e Linha Amarela ;;Reitoria;;;2016-04-10 10:40:14;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-06-01 07:30:00
;Zona Sul;Laranjeiras;;Largo do Machado ;Túnel Santa Barbara ;;CT;;;2016-04-10 21:14:20;2017-04-19 11:59:25;1,2,3,4;;;2016-04-10 21:18:29;2016-05-16 08:00:00
;Zona Norte;Engenho de Dentro;;Próximo ao mc donalds pilares/ Norte shopping;CCMN- LINHA AMARELA - HABIBS PILARES- ARENA;;CCMN: Frente;;"Cobro a contribuição de 4 reais pra gasosa . 
Combinamos pelo chat ou por wpp 99058-4699";2017-08-09 20:06:09;2017-08-09 20:06:09;1,2,3,4,5;;;;2017-09-05 21:00:00
;Zona Norte;Tijuca;;Largo da Segunda Feira;Linha Vermelha, Leopoldina, Rua Paulo De Frontin, Rua Barão De Itapagipe, Rua Félix Da Cunha;;CCMN: Frente;;Não recebo notificações daqui e o servidor cai toda hora, se quiser me chama no wpp ou telegram: 994767057.;2016-05-03 08:06:32;2017-04-19 11:59:25;1,2,4;;;2016-05-03 16:53:45;2016-06-27 16:00:00
;Zona Sul;Leblon;;afranio;lagoa (borges ou epitacio);;CT: Bloco A;;;2016-05-09 23:32:14;2017-04-19 11:59:25;3;;;;2016-06-08 15:00:00
;Baixada;Duque de Caxias;;Xerem;L Vermelha e W Luiz;;CT: Bloco D;;"Ajuda d custo: R$ 5,00
Cortesia grátis p quem precisar";2017-05-06 11:29:10;2017-05-06 11:29:10;1,2;;;;2017-06-06 17:00:00
;Zona Oeste;Barra da Tijuca;;Condomínio Peninsula, via parque ;Ayrton Sena, Linha Amarela, Fundão ;;CCS;;;2016-04-11 22:23:23;2017-04-19 11:59:25;1,2,3,4,5,6;;;;2016-06-02 23:00:00
;Zona Sul;Botafogo;;Mena Barreto;Rebouças, Santa Bárbara ou Marcello Alencar;;CT;;"Costumo sair 7:50 de Botafogo com destino ao HUCFF, mas passo pelo CT, FAU e Letras antes de chegar lá. A contribuição de R$4 com a gasolina é mais que bem-vinda! :D

Às vezes o Caonae fica instável, assim tem o wpp: (21)982361429";2017-05-02 05:37:34;2017-05-02 05:37:34;1,2,3,4,5;;;;2017-05-29 08:43:00
;Zona Oeste;Barra da Tijuca;;;Linha Amarela, Via Parque, Peninsula;;CT: Bloco A;;;2016-04-15 10:45:32;2017-04-19 11:59:25;5;;;;2016-05-06 11:00:00
;Zona Sul;Copacabana;;hosp sao lucas;pompeu loreiro, corte, lagoa, reboucas;;CT;;"aceito contribuições, saindo 11:00
";2016-09-24 16:45:08;2017-04-19 11:59:25;4;;;;2016-10-06 11:40:00
;Zona Oeste;Barra da Tijuca;;;Linha Amarela, Via Parque, Peninsula;;CT: Bloco A;;;2016-04-15 10:45:32;2017-04-19 11:59:25;5;;;;2016-05-27 11:00:00
;Baixada;Duque de Caxias;;Pilar;Presidente Kennedy ou Washington Luiz;;CCS;;;2017-03-14 12:33:28;2017-04-19 11:59:25;1,3;;;;2017-04-10 13:00:00
;Zona Sul;Copacabana;;Rua Santa Clara;Linha vermelha, Humaitá, Botafogo, Copacabana;;CCMN: Frente;;;2016-04-11 23:46:39;2017-04-19 11:59:25;2;;;2016-04-11 23:48:35;2016-04-19 21:45:00
;Zona Oeste;Barra da Tijuca;;Downtown;Ayrton Senna, Alvorada, Americas ou Praia;;Letras;;Normalmente passo pela alvorada e sigo sentido dtw pela praia ou americas. Mas as vezes vou para o Recreio (via nove). ajuda custo sugerida: R$ 4,00 ;2016-09-03 21:10:43;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-10-18 21:20:00
;Zona Sul;Laranjeiras;;;Binário, Santo Cristo, Tunel Santa barbara, Laranjeiras;;Letras;;Saio às 17:20-17:25 do prédio da letras. Encontrar na entrada principal da Letras.;2017-08-10 21:54:13;2017-08-10 21:54:13;1,4;;;;2017-09-04 17:20:00
;Zona Oeste;Barra da Tijuca;;alfabarra;av ayrton senna;;CT: Bloco A;;Contribuiçao de 5 reais! #pas ;2016-11-17 09:37:27;2017-04-19 11:59:25;;;;;2016-11-17 12:00:00
;Zona Oeste;Curicica;;brt Pedro Corrêa;zona sul;;CT: Bloco D;;;2017-04-26 11:17:21;2017-04-26 11:17:21;1;;;;2017-09-11 16:30:00
;Zona Norte;Madureira;;Brt Madureira;Cascadura, Linha Amarela;;CCMN: Frente;;;2019-06-04 12:27:13;2019-06-04 12:31:26;1,2,3,4,5;2019-08-04;;2019-06-04 12:31:26;2019-06-25 13:00:00
;Zona Norte;Tijuca;;Largo da Usina, Praça Xavier de Brito, Extra Maracanã, Shopping Tijuca, Maracanã, Quinta da Boa Vista, Feira de São Cristóvão.;Rua Rocha Miranda, Largo da Usina, Rua São Miguel, Rua Pinto Guedes, Av. Maracanã, Rua Barão de Mesquita, Rua Major Ávila, Av. Maracanã, Av. Osvaldo Aranha, Rua Gal. Herculano Gomes, Av. do Exército, Linha Vermelha;;CT: Bloco H;;"Contribuições monetárias, sem valor pré-determinado, são bem vindas. 
Contato alternativo: Tel.: 98093-4277.";2016-06-13 09:48:16;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-06-23 08:00:00
;Zona Oeste;Bangu;;Ponto de ônibus da Est. Bangu na Av. Santa Cruz;Viaduto de Bangu/Rua da Chita/Av. Brasil/Linha Vermelha ;;CCMN;;"Bom senso acima de tudo!
Contribuição de R$4";2017-03-20 00:31:46;2017-04-19 11:59:25;2,4;;;2017-03-23 17:57:29;2017-06-01 09:30:00
;Zona Oeste;Taquara;;prezunic;;;CT;;Ajuda no pedágio é sempre bem vinda. ;2016-05-11 11:22:44;2017-04-19 11:59:25;;;;;2016-05-11 12:00:00
;Zona Norte;Portuguesa;;;Casa Show;;Reitoria;;;2016-04-10 14:52:22;2017-04-19 11:59:25;2;;;;2016-05-31 17:00:00
;Zona Sul;Leme;;;Via Aterro;;CT;;;2019-03-08 11:35:25;2019-03-12 21:47:36;1,2,3,4;2019-05-11;;2019-03-12 21:47:36;2019-03-19 07:05:00
;Grande Niterói;São Gonçalo;;Praça zé garoto;Ze garoto,  barro vermelho ou Neves, paraiso, Barreto, mocanguê, linha vermelha;;Reitoria;;"Fumo, aceito carregar bagagem mediana, aceito animais rs suave.
Preferência por Minas e manxs.
Wpp 021994973554";2019-08-09 18:24:18;2019-08-09 18:24:18;2,3,4;2019-10-13;;;2019-08-29 08:30:00
;Zona Sul;Botafogo;;;Mena Barreto, Humaitá, Rebouças, CT, CCS.;;CT;;Normalmente vou pelo Rebouças, mas também posso ir pelo Santa Bárbara. Posso parar no CT, letras ou FAU antes de ir para o CCS.;2016-04-22 12:59:17;2017-04-19 11:59:25;3,5;2016-06-27;;;2016-04-27 09:00:00
;Zona Sul;Botafogo;;Rua Mena Barreto;Rebouças ou Santa Bárbara ;;CT: Bloco A;;"A contribuição com a gasolina (4 reais) é voluntária, mas muito bem-vinda! ;D";2016-06-09 16:25:27;2017-04-19 11:59:25;;;;;2016-06-09 16:45:00
;Zona Sul;Catete;;Largo do Machado ;Túnel Santa Barbara ;;CT: Bloco A;;;2016-04-11 01:42:42;2017-04-19 11:59:25;1,3;;;;2016-04-25 13:00:00
;Zona Oeste;Jacarepaguá;;Saindo do Condominio Cidade Jardim;Rio 2, Abelardo Bueno, Barra Music, Linha Amarela ;;CCS: Frente;;"Ajuda na gasolina + pedágio: 4 reais
Pequenos desvios na rota não serão problemas. 
Saindo do Condomínio por volta de 6:40/6:50h.
";2016-08-31 13:55:30;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-09-07 08:00:00
;Zona Norte;Vila Isabel;;Rua Jorge Rudge;;;CCMN;;;2016-05-16 21:10:48;2017-04-19 11:59:25;2;;;;2016-07-12 07:30:00
;Zona Norte;Andaraí;;Guanabara Maxwell ;Maxwell, Maracanã, Pça da Bandeira, Leopoldina, Brasil, Linha Vermelha ;;CT;;"Não tenho rota fixa. Posso mudar um pouco o meu caminho se for facilitar pra alguém. 
Caronas costumam dar R$3,00";2016-04-12 08:39:16;2017-04-19 11:59:25;2,3,4,5;;;;2016-04-29 08:00:00
;Zona Norte;Del Castilho;;LBV;Linha Amarela, Nova América Shopping;;Letras;;;2016-04-13 21:24:28;2017-04-19 11:59:25;2,4,5;;;;2016-05-05 12:55:00
;Zona Sul;Laranjeiras;;Largo do Machado, em frente a Igreja;Rua Das Laranjeiras, Leopoldina;;CT;;Estar Igreja Nossa Senhora da Glória exatamente às 7:30 da manhã;2016-04-10 21:25:54;2017-04-19 11:59:25;1,2,3,4;;;2016-04-10 23:45:21;2016-05-02 08:00:00
;Zona Norte;Monero;;Corredor esportivo;Estrada das Canárias;;CCS;;R$ 3,00 pra ajudar na gasolina.;2017-05-06 09:39:13;2017-05-06 09:39:13;1,2,4,5;;;;2017-05-23 07:20:00
;Zona Oeste;Recreio dos Bandeirantes;;Supermercado Mundial;Alvorada-BS-LA;;CT;;Voi pras 8. Deixo em outros hubs se necessário;2016-10-05 17:28:15;2017-04-19 11:59:25;;;;;2016-10-07 08:00:00
;Zona Norte;Engenho de Dentro;;Memorial;;;CCMN: Frente;;"Sinta-se no Supernatural. Um carro antigo (pra não chamar de velho xD), aquele rock clássico (podendo variar as vezes ;D) e sair pra caçar aqueles demônios da UFRJ (aquele tal de CR é o brabão).
Qualquer coisa é só chamar no whatsapp 999986886";2017-03-22 01:53:30;2017-04-19 11:59:25;1,3,5;;;;2017-05-10 13:00:00
;Zona Norte;Vila Isabel;;Posto Ipiranga da Teodoro;Teodoro, Gonzaga Bastos, São Cristovão, LV;;CT;;"Não fumo
Ligo o ar
Peço contribuição de 3 reais :)
Saída por volta de 7:20";2016-04-10 23:14:25;2017-04-19 11:59:25;3,5;;;;2016-06-29 08:00:00
;Zona Sul;Leblon;;Posto 11;Lagoa, jardim botânico;;CCS: HUCFF;;;2016-05-23 15:14:01;2017-04-19 11:59:25;;;;;2016-05-23 16:20:00
;Zona Sul;Humaitá;;;;;CCS: Fundos;;;2018-08-28 13:48:58;2018-08-28 13:48:58;2;;;;2018-09-18 17:00:00
;Baixada;São João de Meriti;;Éden;dutra-linha vermelha;;CT;;não fumante, contribuição de 5 reais;2017-03-07 22:41:04;2017-04-19 11:59:25;2,3,4,5;;;;2017-03-21 08:00:00
;Zona Norte;Tijuca;;Rua Rocha Miranda, Usina, Praça Xavier de Brito, Extra Maracanã, Shopping Tijuca, Maracanã, Quinta da Boa Vista, Feira de São Cristóvão.;Usina, Rua São Miguel, Rua Pinto Guedes, Av. Maracanã, Barão de Mesquita, Rua Major Ávila, Av. Maracanã, Av. Osvaldo Aranha, Rua Gal. Herculano Gomes, Av. do Exército, Linha Vermelha;;Letras;;Contribuições monetárias, sem valor pré-determinado, são bem vindas, se possível. ;2016-04-20 08:43:37;2017-04-19 11:59:25;6;;;2016-04-20 08:49:36;2016-07-09 07:45:00
;Zona Sul;Laranjeiras;;Largo do Machado, em frente a Igreja;Rua Das Laranjeiras, Leopoldina;;CT;;Estar Igreja Nossa Senhora da Glória exatamente às 7:30 da manhã;2016-04-10 21:25:53;2017-04-19 11:59:25;1,2,3,4;;;2016-04-10 23:44:49;2016-04-14 08:00:00
;Zona Norte;Vila Isabel;;Boulevard Shopping;Teodoro da Silva, Senador Nabuco, UERJ, Benfica, Av Brasil;;CT;;"Fala, galera!

Saio 09:15 de Vila Isabel.
Caso não responda por aqui, me manda whatsapp em (21)991362511.
Não curto que fumem no carro!
Qualquer contribuição é bem-vinda.";2018-08-12 22:07:38;2018-08-12 22:07:38;1,2,3,4;;;;2018-10-09 09:45:00
;Zona Sul;Laranjeiras;;;Binário, Santo Cristo, Tunel Santa barbara, Laranjeiras;;Letras;;Saio às 17:20-17:25 do prédio da letras. Encontrar na entrada principal da Letras.;2017-08-10 21:54:13;2017-08-10 21:54:13;1,4;;;;2017-09-21 17:20:00
;Zona Norte;Tijuca;;Metro Uruguai;Maracanã;;Reitoria;;Aceito contribuições!;2016-06-28 18:12:25;2017-04-19 11:59:25;3,5;;;2016-06-28 18:12:48;2016-08-26 07:30:00
;Zona Norte;Tijuca;;Shopping Tijuca;Linha Vermelha;;Reitoria;;Não pode fumar no veículo;2017-09-19 13:06:34;2017-09-19 13:06:34;;;;;2017-09-19 13:30:00
;Baixada;Mesquita;;53 DP;Posto 13/Marques Rollo/Centro de Mesquita;;CCS: Frente;;"Peço uma ajuda de custo de R$ 5,00
apenas para ajudar na gasosa ;)";2016-04-14 16:30:40;2017-04-19 11:59:25;3;;;;2016-06-08 22:00:00
;Zona Oeste;Barra da Tijuca;;Rio Design;Zona sul;;Praia Vermelha;;Peço uma contribuição para ajudar com os custos da gasolina!;2018-04-03 19:36:13;2018-04-03 19:36:13;2,4;;;;2018-05-15 11:00:00
;Zona Oeste;Barra da Tijuca;;Downtown;Linha Amarela;;CT: Bloco D;;"Saio às 13h da frente do bloco F.
Aplicativo não me envia msg.";2016-06-25 06:26:17;2017-04-19 11:59:25;1,2,4,5;;;2016-07-12 11:50:06;2016-07-18 13:00:00
;Zona Norte;Del Castilho;;norte shopping;suburbana;;CCMN: Frente;;;2016-04-15 21:52:35;2017-04-19 11:59:25;;;;;2016-04-15 22:00:00
;Zona Norte;Andaraí;;Uerj;Maracanã, sao cristovao, linha vermelha, CCS;;CCS;;Não fumo, respeito é essencial, pode conversar à vontade.;2016-08-29 16:20:12;2017-04-19 11:59:25;1,2,3,4,5,6;;;;2016-10-18 17:00:00
;Zona Norte;Tijuca;;metrô uruguai;AV Maracanã, túnel Santa barbara, Botafogo, pv;;Praia Vermelha;;;2018-03-27 14:37:18;2018-03-27 14:37:18;2,4;;;;2018-04-19 18:00:00
;Zona Norte;Monero;;Ilha Plaza, Corredor Esportivo;Canárias;;CCS;;R$3;2016-04-14 06:46:21;2017-04-19 11:59:25;1,2,4,5;;;2016-04-14 06:49:18;2016-05-12 07:00:00
;Grande Niterói;São Gonçalo;;Cemitério São Miguel (Mutuá);BR;;CT: Bloco H;;;2016-04-15 20:19:16;2017-04-19 11:59:25;2,3,4,5;;;;2016-05-20 12:00:00
;Zona Sul;Humaitá;;Rua Fonte da Saudade;Rua fonte da Saudade/Rebouças;;CT;;;2016-04-26 22:47:05;2017-04-19 11:59:25;1,3;;;;2016-05-11 16:30:00
;Zona Norte;Jardim Guanabara;;;;;CCS: HUCFF;;Moro perto do Chua, mas deixo pessoas naqueles condominios perto do extra e dependendo do lugar perto do Jd. podemos conversar! A contribuição com a gasolina é opcional mas quatro reais (e um bom papo) são sempre bem vindos.;2016-05-09 14:52:14;2017-04-19 11:59:25;1,5;;;;2016-06-24 15:00:00
;Zona Norte;Bento Ribeiro;;Largo da Fontinha;Intendente Magalhães;;CCMN;;Não cobro nada mas contribuições são sempre bem-vindas. Saindo as 8:30 em ponto;2016-07-13 22:24:09;2017-04-19 11:59:25;;;;;2016-07-14 09:10:00
;Zona Norte;Cachambi;;Nova América;Linha Amarela, Saída 5;;CT: Bloco H;;;2016-06-21 15:07:43;2017-04-19 11:59:25;;;;2016-06-21 15:22:42;2016-06-21 17:00:00
;Baixada;Duque de Caxias;;Jardim Primavera;Washington Luiz;;CT;;Pra chegar 08h no Fundão;2017-05-04 16:30:29;2017-05-04 16:30:29;1,2,3,4,5;2017-07-05;;;2017-05-05 07:00:00
;Zona Oeste;Campo Grande;;mendanha;west shopping;;CT: Bloco D;;;2017-10-19 22:20:11;2017-10-19 22:20:11;2,4;;;;2017-10-31 19:30:00
;Zona Sul;Botafogo;;Bambina;Praia De Botafogo, Pinheiro Machado, Cidade Nova, LV, Fundão;;CCS;;"Saindo de Botafogo entre 16 e 16:30hrs

R$ 4,00";2019-08-21 15:18:03;2019-08-21 15:18:03;2,3,5;2019-11-21;;;2019-09-04 17:30:00
;Zona Oeste;Barra da Tijuca;;Jardim Oceânico;Zona Sul - São Conrado, Gávea, Lagoa, Fundão;;CT;;Cobro 6 reais de contribuição da gasolina.;2017-03-15 00:09:28;2017-04-19 11:59:25;1,2,3,4;;;2017-03-15 00:11:16;2017-04-03 01:00:00
;Zona Norte;Tijuca;;perto do largo da segunda feira;Doutor Satamini, Afonso Pena;;CCS: Frente;;conto com 4 reais para ajuda de gasolina;2017-05-11 14:08:30;2017-05-11 14:08:30;2,4;;;;2017-07-18 19:00:00
;Zona Norte;Tijuca;;;Av. Maracana passando pela Rua Uruguai, Barão de Mesquita, São Cristóvão;;CT;;;2016-04-13 23:41:46;2017-04-19 11:59:25;1,3,5;;;2016-04-13 23:45:47;2016-05-27 10:00:00
;Zona Sul;Copacabana;;Estação Cantagalo ;Lagoa, Rebouças;;CCS;;;2016-04-10 01:04:55;2017-04-19 11:59:25;1,2,3,4,5;;;2016-04-12 00:29:46;2016-06-01 08:00:00
;Zona Norte;Vista Alegre;;Prezunic/Toca do Boi; Ignorem a outra carona de 17h! Geralmente pela Lobo Júnior, Av. Brás de Pina, Largo do Bicão etc.;;CCS: HUCFF;;"Meu horário é flexível, posso sair entre 16:30-17:30, só combinar. As rotas dependem do trânsito, mas é possível passar pela Penha (Av. Lobo Júnior), Vila da Penha (Av. Brás de Pina) etc. 
Se possível, aceito a contribuição que seu coração mandar :)";2016-05-03 13:08:44;2017-04-19 11:59:25;1,2,3,4;;;;2016-05-05 16:59:00
;Zona Sul;Botafogo;;Praia de Botafogo;Pinheiro Machado;;CT: Bloco H;;Peço contribuição de 4 reais;2016-05-23 15:52:51;2017-04-19 11:59:25;;;;;2016-05-23 18:00:00
;Zona Oeste;Barra da Tijuca;;Villas da barra;Aroazes, Abelardo, Linha Amarela.;;CT;;Se possível, 5 reais pra ajudar na gasolina e pedágio. Se não tiver respondendo aqui, manda no whats: 21 999662048;2016-09-19 08:20:48;2017-04-19 11:59:25;1,2,3,4;;;;2016-11-10 07:50:00
;Zona Oeste;Barra da Tijuca;;pedra de itauna;Américas, ayrton senna, linha amarela ;;Letras;;;2016-04-15 11:26:06;2017-04-19 11:59:25;1,3,5;;;;2016-04-29 07:20:00
;Zona Norte;Tijuca;;Rua Andrade Neves ;Rua Bom Pastor, Rua Conde De Bonfim, Rua Hadokk Lobo, Viaduto Paulo De Frontein, Leopoldina, Av. Brasil E Linha Vermelha;;CT;;;2016-06-12 20:05:51;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-08-05 07:00:00
;Grande Niterói;Centro (Niterói);;;Linha Vermelha, Ponte, Av Feliciano Sodre, Av visconde Do Rio Branco, Cantareira ;;CCS: HUCFF;;Não fumo! ;2016-04-09 17:22:48;2017-04-19 11:59:25;5;;;2016-04-09 17:38:42;2016-07-08 17:00:00
;Zona Oeste;Recreio dos Bandeirantes;;;Salvador Alende e Linha Amarela ;;Reitoria;;;2016-04-10 10:30:36;2017-04-19 11:59:25;1,2,3,4,5;;;2016-04-10 10:32:36;2016-04-29 06:30:00
;Zona Norte;Vila Isabel;;Shopping Boulevard Rio (Antigo Iguatemi), UERJ;Teodoro da Silva, Praça 7, Senador Nabuco, UERJ, Radial, Quinta, São Cristóvão, Linha Vermelha;;CT;;"Saio 14h pra chegar 14:40h
Anota o wpp caso o app fique fora do ar: (21) 991362511
Ligo o ar
Música de AC/DC à Rihanna
Aceito pequenas contribuições! Ou um mate também cai bem =)";2016-08-28 22:35:03;2017-04-19 11:59:25;4;;;;2016-09-15 14:40:00
;Zona Norte;Tijuca;;;Canabarro, América, Vermelha, Fundão;;CT: Bloco D;;;2016-04-13 17:50:06;2017-04-19 11:59:25;;;;;2016-04-13 19:30:00
;Baixada;Nova Iguaçu;;Posto 13;Linha vermelha / Dutra;;CT: Bloco A;;Passo em outros prédios do fundão. Contribuição de R$3,00.;2016-05-16 14:10:37;2017-04-19 11:59:25;;;;;2016-05-16 14:20:00
;Zona Sul;Copacabana;;posto 6;reboucas,  lagoa e corte;;CT: Bloco D;;;2016-04-28 06:48:47;2017-04-19 11:59:25;;;;;2016-04-28 18:00:00
;Baixada;São João de Meriti;;Casa do Alemão;Linha Vermelha até a Dutra, altura da igreja de Agostinho Porto;;CT: Bloco H;;Peço 4 reais para ajudar no combustível. Posso buscar em Vilar dos Teles ou no centro de SJM. Desejável ter o dinheiro trocado, pois pode acontecer de eu não ter troco. Utilizo o Waze, em caso de engarrafamento;2016-09-09 01:12:50;2017-04-19 11:59:25;5;;;;2017-01-13 15:00:00
;Zona Norte;Jardim Guanabara;;;BRT Fundão- Galeão- Casa Show- Jardim Guanabara;;CCMN: Frente;;;2016-05-26 02:09:53;2017-04-19 11:59:25;1,2,4,5;;;;2016-06-10 03:00:00
;Zona Norte;Vicente de Carvalho;;Metro de Irajá e Vicente de Carvalho;Linha Amarela, Shopping Nova América, Automóvel Clube;;CT: Bloco A;;Carro sem ar, mas tem música boa;2016-09-28 14:55:09;2017-04-19 11:59:25;1;;;2016-10-17 11:14:04;2016-11-07 13:00:00
;Zona Sul;Copacabana;;Republica do Peru - SmartFit toneleiros;Toneleiros, Figueiredo, Botafogo, Rebouças, CT;;CT: Bloco D;;Colaborar com 4 reais;2016-12-06 23:39:02;2017-04-19 11:59:25;;;;;2016-12-07 08:10:00
;Zona Norte;Grajaú;;Praça Verdun;Maxwell, Iguatemi, Noel Rosa;;CT;;Saio do Grajaú por volta de 7:15;2016-04-11 08:58:51;2017-04-19 11:59:25;2,4;;;;2016-04-28 08:00:00
;Zona Sul;Jardim Botânico;;Rua Lopes Quintas;Lagoa, Tunel Rebouças, Linha Vermelha ;;CT;;;2016-06-17 19:13:09;2017-04-19 11:59:25;;;;;2016-06-18 08:00:00
;Grande Niterói;Centro (Niterói);;Em frente aos Bombeiros;;;CT;;"Tenho ido de MOTO. Peso máximo do carona = 60 kg.
Pego corredor na ponte e ando forte, então não recomendado para quem tem medo de aventura :) porém chego rápido independente das condições de transito. Deus abençoe";2016-04-19 12:20:18;2017-04-19 11:59:25;1,2,3,4,5;;;2016-04-19 12:23:14;2016-05-09 13:00:00
;Zona Sul;Copacabana;;Copacabana Palace;Santa Bárbara ;;Reitoria;;não fumo, não saio da rota;2017-01-16 11:30:55;2017-04-19 11:59:25;1,2,3,4,5;;;;2017-02-17 12:45:00
;Zona Norte;Engenho de Dentro;;Engenhão;Linha Amarela;;Todos os Centros;;"Carro tem 2 portas, só R$ 4,00 pra gasosa ;)  Tks. Qlqr coisa, 9-9602-2731";2017-10-17 00:11:27;2017-10-17 00:11:27;1,5;;;;2017-10-20 12:00:00
;Zona Norte;Tijuca;;Rua Conde de Bonfim x Rua José Higino ;Conde De Bonfim, Pç Sães Pena, R. Major Ávila, Maracanã, Pç. Da Bandeira, São Cristovão E Linha Vermelha;;Reitoria;;Saio 11:00 de casa. Peço para que me liguem caso eu não responda a tempo. ;2016-06-14 22:21:12;2017-04-19 11:59:25;;;;;2016-06-15 12:00:00
;Baixada;Duque de Caxias;;Xerem;L Vermelha e W Luiz;;CT: Bloco D;;"Ajuda d custo: R$ 5,00
Cortesia grátis p quem precisar";2017-05-06 11:39:05;2017-05-06 11:39:05;1,2;;;;2017-06-27 17:00:00
;Centro;Centro (Bairro);;Aeroporto Santos Dumont;Presidente Varga e Rio Branco;;CCMN: Frente;;;2017-04-24 14:48:57;2017-04-24 14:48:57;1,2,3,4;;;;2017-05-29 15:00:00
;Zona Oeste;Barra da Tijuca;;Condomínio Peninsula, via parque ;Ayrton Sena, Linha Amarela, Fundão ;;CCS;;;2016-04-11 22:23:23;2017-04-19 11:59:25;1,2,3,4,5,6;;;;2016-06-11 23:00:00
;Grande Niterói;Centro (Niterói);;Icarai;;;CCMN;;;2017-10-30 16:34:50;2017-10-30 16:34:50;1,2,3,4,5;;;;2017-12-28 09:00:00
;Zona Norte;Méier;;ponto de onibus da rua carolina santos em frente ao numero 119;rua adriano, rua piaui, av. don helder camara, linha amarela;;CT;;"saio do ponto combinado as 8:30. aceito ajuda para gasolina, sem valor fixo.
as vezes o aplicativo nao manda notificacao, confirmar no whatsapp 995297880";2016-05-22 21:42:14;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-07-04 08:30:00
;Zona Norte;Méier;;Rua Miguel Fernandes;Cachambi, Nova América, Linha Amarela;;Reitoria;;Não cobro pela carona. Carona é pra ser gratuita!;2018-07-08 10:44:38;2018-07-08 10:44:38;;;;;2018-07-11 07:30:00
;Centro;Estácio;;Metro;Leopoldina, Paulo De Frontin;;CT: Bloco D;;;2016-06-08 10:08:24;2017-04-19 11:59:25;3;2016-08-08;;;2016-06-08 15:15:00
;Zona Oeste;Barra da Tijuca;;Jardim Oceânico - Praça do Ó;São Conrado - Lagoa-Barra - Rebouças;;CCS;;;2016-04-09 20:16:52;2017-04-19 11:59:25;2,3,4,5;;;2016-04-27 20:01:11;2016-06-08 08:00:00
